warehouse_id,sku_id,revenue,on_hand,inventory_turnover
WH_A,SKU0001,13106.32,116.95,0.8814160761388222
WH_A,SKU0002,14436.71,151.01666666666668,0.7518717695146258
WH_A,SKU0003,10619.33,154.08333333333334,0.5420531566818464
WH_A,SKU0004,12939.53,160.91666666666666,0.6324379178996252
WH_A,SKU0005,11810.25,98.6,0.9420687593518257
WH_A,SKU0006,19120.11,112.33333333333333,1.338696618777087
WH_A,SKU0007,15002.5,105.68333333333334,1.116496995614732
WH_A,SKU0008,16366.21,150.88333333333333,0.8531144058342883
WH_A,SKU0009,13451.32,155.68333333333334,0.6795528041153401
WH_A,SKU0010,8026.16,153.38333333333333,0.4115570708182706
WH_A,SKU0011,12402.86,147.55,0.6611241989680667
WH_A,SKU0012,19700.61,119.36666666666666,1.2980667735741003
WH_A,SKU0013,21605.89,144.8,1.173556558709252
WH_A,SKU0014,12130.78,170.43333333333334,0.5598022177901028
WH_A,SKU0015,9568.18,111.45,0.6752268293375224
WH_A,SKU0016,16696.2,111.11666666666666,1.1817860516394254
WH_A,SKU0017,12079.92,148.93333333333334,0.6379293365284815
WH_A,SKU0018,16806.12,114.03333333333333,1.159140464370931
WH_A,SKU0019,19275.440000000002,116.13333333333334,1.3054127044121906
WH_A,SKU0020,20920.27,153.88333333333333,1.0692422872524907
WH_A,SKU0021,23053.03,98.78333333333333,1.8354593251101765
WH_A,SKU0022,17516.56,111.66666666666667,1.2337458216290957
WH_A,SKU0023,20244.75,158.55,1.0042610010497413
WH_A,SKU0024,19808.06,151.25,1.0300231499419497
WH_A,SKU0025,11030.58,119.93333333333334,0.7233672968060955
WH_A,SKU0026,11571.34,150.83333333333334,0.6033742221242693
WH_A,SKU0027,14883.06,164.26666666666668,0.7125957277465836
WH_A,SKU0028,13938.72,142.38333333333333,0.7699529091806769
WH_A,SKU0029,14726.71,98.96666666666667,1.1703539304480495
WH_A,SKU0030,19494.26,102.75,1.4921942070320577
WH_A,SKU0031,10558.43,96.16666666666667,0.863525582510171
WH_A,SKU0032,10083.41,114.11666666666666,0.6949583461445619
WH_A,SKU0033,8002.78,114.56666666666666,0.5493928800660357
WH_A,SKU0034,15416.32,109.73333333333333,1.1049498589354516
WH_A,SKU0035,16664.68,160.95,0.8143412302044643
WH_A,SKU0036,18306.54,116.15,1.239616878384142
WH_A,SKU0037,13114.83,95.83333333333333,1.0763326071266388
WH_A,SKU0038,11667.19,116.71666666666667,0.7862014139930009
WH_A,SKU0039,17345.18,101.9,1.3387671682196867
WH_A,SKU0040,15402.6,108.96666666666667,1.1117337684153727
WH_A,SKU0041,12831.449999999999,119.65,0.8434579949536452
WH_A,SKU0042,15627.49,153.88333333333333,0.7987264577185392
WH_A,SKU0043,21145.93,150.2,1.1072795615667406
WH_A,SKU0044,9207.44,142.48333333333332,0.5082475068129481
WH_A,SKU0045,14014.18,154.06666666666666,0.7154172886686186
WH_A,SKU0046,17169.87,166.45,0.8113040306217492
WH_A,SKU0047,9590.13,155.78333333333333,0.4841767469034353
WH_A,SKU0048,13500.52,154.61666666666667,0.6867435931960338
WH_A,SKU0049,17879.16,100.28333333333333,1.4022284551080588
WH_A,SKU0050,18404.68,158.63333333333333,0.9125028863895223
WH_A,SKU0051,13112.07,167.85,0.6143987729006425
WH_A,SKU0052,15054.27,168.01666666666668,0.7047056648919982
WH_A,SKU0053,13559.47,153.01666666666668,0.6969544633394286
WH_A,SKU0054,8465.67,108.28333333333333,0.6148938438063908
