ds,yhat,yhat_lower,yhat_upper
2025-01-01,4.499268184272827,-0.6607238719375225,9.69826326602604
2025-01-02,5.391026229982116,0.6342489417981234,10.307227121724388
2025-01-03,8.7365653828917,3.7057731263400853,13.928851069384606
2025-01-04,9.201619495406694,4.110134767010721,14.260625012075755
2025-01-05,4.31747846452403,-0.9357018079804623,9.099726149891914
2025-01-06,9.244042178039356,4.090822712456486,14.241429537626585
2025-01-07,11.448097662067731,6.237395785425303,16.62180922030971
2025-01-08,4.119385683972147,-1.0014491398109402,9.364731905318985
2025-01-09,5.011143729669533,-0.41645276873346476,10.011357643482114
2025-01-10,8.35668288263373,3.3031874128308867,13.468725208382278
2025-01-11,8.821736995192591,3.649625359873531,14.274199287962006
2025-01-12,3.9375959643259857,-1.1600671558734441,9.365826737567994
2025-01-13,8.864159677863483,3.816584439049674,13.997535137316623
2025-01-15,3.739503183789375,-1.7686795233987918,8.980813656021057
2025-01-16,4.631261229478667,-0.5204685936612152,9.871434034485757
2025-01-17,7.976800382411792,3.0815781472114065,13.298791986109872
2025-01-18,8.44185449491493,3.4225692225879203,13.848612583607341
2025-01-19,3.5577134640416967,-1.74367017513246,8.52546138613848
2025-01-20,8.484277177535654,3.422626128218776,13.849737271503152
2025-01-21,10.688332661567788,5.358615904127897,15.819329450717127
2025-01-22,3.3596206834906166,-2.125118833700846,8.215944040814557
2025-01-23,4.251378729204388,-1.1768908239977043,9.521302228331583
2025-01-24,7.596917882155797,2.4330881465456966,12.807239224075479
2025-01-25,8.061971994698949,2.6631833253960395,13.215973847340242
2025-01-27,8.104394677352225,2.759427837682897,13.481729524937945
2025-01-28,10.30845016135722,4.765842472476793,15.22104321965672
2025-01-29,2.979738183228202,-2.008176337547764,7.81628203782147
2025-01-30,3.8714962289126773,-1.6902332427000675,8.491002066959659
2025-01-31,7.217035381776564,2.109572344171753,12.186516273974208
2025-02-01,7.68208949425733,2.4429536963183205,12.711469355839501
2025-02-03,7.724512176760251,2.6113244112799006,12.650097808565286
2025-02-05,2.599855682517357,-2.67286154711229,8.00278393588147
2025-02-06,3.491613728118295,-1.6882442835228153,8.625062536282503
2025-02-07,6.837152880924869,1.6547091251992692,12.029836743650124
2025-02-08,7.302206993348366,2.392361389564181,12.46578428636641
2025-02-09,2.418065962355028,-3.0752283298286422,7.513311806324417
2025-02-11,9.54868515963198,4.354275767302248,14.818356807755396
2025-02-12,2.219973181405316,-2.7606227684379,7.3126869973809
2025-02-13,3.111731226980014,-1.9640179058203038,8.330996964276045
2025-02-14,6.457270379774904,1.1741369992495876,11.551451913064717
2025-02-15,6.922324492168696,1.6808409437465661,12.116289577374163
2025-02-16,2.038183461130984,-3.0031306483599165,6.92038321401021
2025-02-17,6.964747174493941,1.2614069303456998,11.676355584722824
2025-02-18,9.168802658348827,4.067486205418281,14.377634506527476
2025-02-19,1.8400906800992103,-3.623149136587313,6.66526185559549
2025-02-20,2.7318487256431,-2.434907487191835,7.901360737133999
2025-02-21,6.077387878384881,0.8975199880742184,11.10478846588959
2025-02-22,6.542441990756165,1.322105831259939,11.317324142838377
2025-02-23,1.6583009597258536,-3.4773286572465296,6.6335584004398545
2025-02-24,6.584864673093849,1.4417937197551933,11.76371700671554
2025-02-25,8.788920156937696,3.7840461867517803,13.787111629369544
2025-02-26,1.4602081786886165,-3.7515771033356287,6.740518615574087
2025-02-27,2.351966224216409,-2.9178073561507984,6.928660329743961
2025-02-28,5.697505376977354,0.36111090618668623,10.653800568538216
2025-03-01,6.162559489345465,0.8315743491234253,11.400460277100544
2025-03-02,1.2784184583108607,-3.988063930876198,6.252059436120657
2025-03-03,6.2049821716546605,0.9931704734951158,10.987242725502131
2025-03-04,8.409037655540097,3.0552121012866986,13.357464944352497
2025-03-05,1.0803256772676835,-4.2129758596262405,6.511966705687765
2025-03-06,1.9720837228098982,-2.972183630673374,7.374984160101502
2025-03-07,5.317622875568729,0.17546675571554315,10.388362775689703
2025-03-08,5.7826769879305315,1.1440664383377372,11.308236434534667
2025-03-09,0.8985359568958677,-4.554703352335284,6.140391305553356
2025-03-10,5.825099670254568,0.5851864417569179,10.935805061560762
2025-03-11,8.029155154128967,3.1478860351437583,13.515829298235708
2025-03-12,0.7004431758570924,-4.564606987855122,5.879201070940766
2025-03-13,1.5922012214011287,-3.8352483496632765,6.8276821004742665
2025-03-14,4.937740374161201,-0.021057457390947443,10.037810719084382
2025-03-15,5.402794486535923,0.037655310848817194,10.832248200305855
2025-03-16,0.5186534554939559,-4.639770030440322,5.6402752778997645
2025-03-17,5.44521716883938,0.390525410160522,10.502016947922968
2025-03-18,7.649272652710779,2.208114677317986,13.013271117288207
2025-03-19,0.3205606744413294,-4.774326694222945,5.338034560845966
2025-03-20,1.2123187199789545,-3.9043811621614153,6.668249214338662
2025-03-21,4.557857872752576,-0.3430249012024908,10.044173804826729
2025-03-22,5.022911985120987,0.02109451246590987,9.866750235974473
2025-03-23,0.13877095407896256,-5.169369263390644,5.4498138300582
2025-03-24,5.06533466743929,-0.271903638019297,10.20563009400795
2025-03-25,7.26939015129965,1.8748554887397701,12.159200811732306
2025-03-26,-0.059321826950718304,-5.140003593916416,5.262045807198123
2025-03-27,0.8324362185724432,-4.568716252749921,5.4002831352465375
2025-03-28,4.177975371346147,-1.308289082437603,9.112766176860402
2025-03-29,4.643029483710292,-0.6289571698377527,9.459391388144875
2025-03-30,-0.24111154732948847,-5.212663337874931,4.946451945813957
