order_id,order_date,warehouse_id,region,sku_id,category,qty_ordered,unit_price
100000,2025-01-01,WH_A,East,SKU0095,Electronics,6,213.82
100001,2025-01-01,WH_B,Central,SKU0032,Sports,1,235.57
100002,2025-01-01,WH_C,West,SKU0060,Hardware,4,213.53
100003,2025-01-01,WH_A,East,SKU0068,Electronics,8,234.57
100004,2025-01-01,WH_B,Central,SKU0066,Sports,1,36.28
100005,2025-01-01,WH_B,Central,SKU0050,Hardware,3,142.99
100006,2025-01-01,WH_B,Central,SKU0090,Electronics,1,172.69
100007,2025-01-01,WH_A,East,SKU0003,Hardware,1,16.57
100008,2025-01-01,WH_B,Central,SKU0066,Sports,1,52.49
100009,2025-01-01,WH_B,Central,SKU0084,Office,3,237.27
100010,2025-01-01,WH_A,East,SKU0018,Housewares,3,165.42
100011,2025-01-01,WH_B,Central,SKU0097,Office,1,130.51
100012,2025-01-01,WH_C,West,SKU0062,Housewares,5,165.26
100013,2025-01-01,WH_C,West,SKU0100,Office,1,212.88
100014,2025-01-01,WH_C,West,SKU0031,Sports,10,73.35
100015,2025-01-01,WH_A,East,SKU0040,Housewares,1,87.94
100016,2025-01-01,WH_B,Central,SKU0077,Office,1,218.99
100017,2025-01-01,WH_B,Central,SKU0049,Housewares,7,160.16
100018,2025-01-01,WH_B,Central,SKU0019,Sports,4,168.82
100019,2025-01-01,WH_C,West,SKU0044,Hardware,1,159.85
100020,2025-01-01,WH_A,East,SKU0053,Hardware,5,203.43
100021,2025-01-01,WH_C,West,SKU0091,Electronics,1,118.34
100022,2025-01-01,WH_B,Central,SKU0077,Office,1,189.24
100023,2025-01-01,WH_A,East,SKU0080,Hardware,2,90.68
100024,2025-01-01,WH_A,East,SKU0002,Electronics,3,121.03
100025,2025-01-01,WH_B,Central,SKU0075,Sports,1,223.15
100026,2025-01-01,WH_C,West,SKU0031,Sports,1,9.43
100027,2025-01-01,WH_A,East,SKU0052,Hardware,1,45.09
100028,2025-01-01,WH_B,Central,SKU0062,Housewares,2,158.09
100029,2025-01-01,WH_C,West,SKU0037,Sports,1,55.02
100030,2025-01-01,WH_B,Central,SKU0057,Electronics,1,125.58
100031,2025-01-01,WH_A,East,SKU0078,Housewares,2,79.47
100032,2025-01-01,WH_C,West,SKU0030,Housewares,1,24.75
100033,2025-01-01,WH_C,West,SKU0081,Housewares,1,30.91
100034,2025-01-01,WH_B,Central,SKU0097,Office,4,89.28
100035,2025-01-01,WH_A,East,SKU0029,Sports,1,129.5
100036,2025-01-01,WH_B,Central,SKU0066,Sports,2,110.03
100037,2025-01-01,WH_B,Central,SKU0005,Sports,1,189.97
100038,2025-01-01,WH_A,East,SKU0004,Hardware,3,101.71
100039,2025-01-01,WH_B,Central,SKU0018,Housewares,1,43.2
100040,2025-01-01,WH_A,East,SKU0025,Office,4,151.9
100041,2025-01-01,WH_B,Central,SKU0051,Hardware,1,97.63
100042,2025-01-01,WH_C,West,SKU0092,Housewares,7,115.83
100043,2025-01-01,WH_C,West,SKU0059,Electronics,1,162.73
